item_id,name,class,subclass
192675,Alerón,Miscelánea,Chatarra
35951,Salmón emperador pochado,Consumible,Comida y bebida
13423,Aceite de escama pétrea,Habilidad comercial,Otros
228235,Tejido del amanecer,Habilidad comercial,Tela
187703,Protofibra de seda,Habilidad comercial,Tela
40199,Rémora pigmea,Habilidad comercial,Otros
219947,Polvo de tormenta,Habilidad comercial,Encantamiento
213611,Muestra temblorosa,Habilidad comercial,Otros
17011,Núcleo de lava,Habilidad comercial,Otros
12799,Ópalo grande,Habilidad comercial,Joyería
21887,Cuero de pellejo nudoso,Habilidad comercial,Cuero
22787,Velada,Habilidad comercial,Hierbas
2459,Poción de presteza,Consumible,Pociones
74839,Pechuga de ave silvestre,Habilidad comercial,Cocina
194823,Runa zumbadora,Consumible,Otros
222739,Carne especiada,Habilidad comercial,Cocina
68055,Lágrima de lealtad cristalina,Miscelánea,Chatarra
19183,Arena de reloj de arena,Consumible,Otros
227311,Cavaxpresso,Consumible,Comida y bebida
172055,Anca fantasmal,Habilidad comercial,Cocina
59491,Engranaje ostentoso,Gema,Otros
25435,Caparazón endurecido,Miscelánea,Chatarra
127759,Añublovil,Habilidad comercial,Otros
192615,Fluido fluorescente,Miscelánea,Chatarra
234415,Revestimiento de manivela manual,Miscelánea,Otros
32227,Espinela carmesí,Habilidad comercial,Joyería
225911,Lomo de cenizabeja,Habilidad comercial,Cocina
179315,Corvo sombrío,Habilidad comercial,Cocina
171315,Sombranoche,Habilidad comercial,Hierbas
34755,Filete de colmipala tierno,Consumible,Comida y bebida
41611,Hebilla eterna,Mejora de objetos,Cintura
198203,Fusibles de seguridad surtidos,Habilidad comercial,Piezas
3387,Poción de invulnerabilidad limitada,Consumible,Pociones
212271,Frasco de agresión templada,Consumible,Frascos y ampollas
127835,Poción de maná antigua,Consumible,Pociones
152875,Polvo lúgubre,Habilidad comercial,Encantamiento
176087,Quitina de gorm,Miscelánea,Chatarra
151567,Paño de tejido de luz,Habilidad comercial,Tela
22791,Flor abisal,Habilidad comercial,Hierbas
44143,As de Demonios,Habilidad comercial,Inscripción
52191,Zafiro oceánico,Habilidad comercial,Joyería
224323,Encantamiento alegre - Trol Zandalari,Consumible,Otros
154899,Filete paleo grueso,Habilidad comercial,Cocina
193927,Rollo de tela salvaje,Habilidad comercial,Tela
198195,Condensador arcoluz,Habilidad comercial,Piezas
4371,Tubo de bronce,Habilidad comercial,Piezas
212667,Quitina penumbrosa,Habilidad comercial,Cuero
19767,Cuero de murciélago primigenio,Habilidad comercial,Cuero
207023,Poción de sanación de la Caminasueños,Consumible,Pociones
191379,Poción de sanación refrescante,Consumible,Pociones
5523,Percebe pequeño,Habilidad comercial,Otros
191363,Poción de enfoque congelado,Consumible,Pociones
112283,Cuatro de Visiones,Habilidad comercial,Inscripción
158751,Pelambre enmarañada,Miscelánea,Chatarra
7075,Núcleo de tierra,Habilidad comercial,Elemental
23783,Puñado de tornillos de hierro vil,Habilidad comercial,Piezas
36931,Ametrino,Habilidad comercial,Joyería
173171,Esencia de tormento,Habilidad comercial,Joyería
3667,Carne de crocolisco tierna,Habilidad comercial,Cocina
213491,Ónice mortal,Gema,Varias estadísticas
20875,Ídolo de la noche,Misión,Misión
2723,Botella de Dalaran Noir,Consumible,Comida y bebida
189143,Mena de draconio,Habilidad comercial,Metal y piedra
5503,Carne de almeja,Habilidad comercial,Cocina
234419,Sistema de montura de Vaporio,Miscelánea,Otros
62651,Rondador medio frito,Consumible,Comida y bebida
224111,Aceite de toxinas profundas,Consumible,Otros
